order_num,order_id,user_id,order_timestamp,total_amount,date
100,11000,7284,2025-04-03T05:00:00,175.83,2025-04-03
37,11001,1216,2025-04-03T19:48:00,443.83,2025-04-03
88,11002,4204,2025-04-03T23:31:00,214.34,2025-04-03
2,11003,3858,2025-04-03T13:34:00,193.87,2025-04-03
70,11004,5783,2025-04-03T01:00:00,31.13,2025-04-03
60,11005,4097,2025-04-03T01:55:00,323.7,2025-04-03
74,11006,4098,2025-04-03T23:42:00,73.02,2025-04-03
49,11007,6439,2025-04-03T23:33:00,493.69,2025-04-03
33,11008,1259,2025-04-03T21:33:00,27.26,2025-04-03
49,11009,6592,2025-04-03T20:21:00,318.24,2025-04-03
90,11010,8688,2025-04-03T11:35:00,184.28,2025-04-03
55,11011,8778,2025-04-03T01:27:00,405.13,2025-04-03
35,11012,5292,2025-04-03T23:20:00,461.09,2025-04-03
59,11013,5469,2025-04-03T10:52:00,39.87,2025-04-03
93,11014,9505,2025-04-03T21:53:00,474.93,2025-04-03
41,11015,8345,2025-04-03T22:10:00,53.68,2025-04-03
29,11016,8457,2025-04-03T04:19:00,389.94,2025-04-03
89,11017,9150,2025-04-03T15:00:00,146.38,2025-04-03
94,11018,5115,2025-04-03T00:41:00,229.88,2025-04-03
70,11019,1705,2025-04-03T18:02:00,430.55,2025-04-03
47,11020,6740,2025-04-03T04:07:00,211.25,2025-04-03
14,11021,7525,2025-04-03T23:38:00,325.19,2025-04-03
70,11022,2700,2025-04-03T21:24:00,372.85,2025-04-03
53,11023,4569,2025-04-03T03:34:00,478.46,2025-04-03
7,11024,5876,2025-04-03T18:17:00,45.64,2025-04-03
45,11025,5919,2025-04-03T07:37:00,361.1,2025-04-03
10,11026,4112,2025-04-03T13:09:00,103.22,2025-04-03
98,11027,3053,2025-04-03T23:16:00,370.69,2025-04-03
5,11028,3755,2025-04-03T21:02:00,52.12,2025-04-03
14,11029,1441,2025-04-03T03:57:00,138.64,2025-04-03
60,11030,2993,2025-04-03T15:55:00,72.45,2025-04-03
99,11031,2817,2025-04-03T06:49:00,117.58,2025-04-03
56,11032,7914,2025-04-03T22:03:00,186.55,2025-04-03
21,11033,6804,2025-04-03T15:09:00,86.57,2025-04-03
90,11034,2372,2025-04-03T23:03:00,99.75,2025-04-03
