id,order_id,user_id,days_since_prior_order,product_id,add_to_cart_order,reordered,order_timestamp,date
29954,15500,3906,10,664,1,1,2025-04-12T13:54:00,2025-04-12
29955,15500,3906,7,139,2,0,2025-04-12T13:54:00,2025-04-12
29956,15500,3906,29,196,3,0,2025-04-12T13:54:00,2025-04-12
29957,15500,3906,26,727,4,1,2025-04-12T13:54:00,2025-04-12
29958,15500,3906,15,27,5,1,2025-04-12T13:54:00,2025-04-12
29959,15500,3906,16,836,6,1,2025-04-12T13:54:00,2025-04-12
29960,15501,1570,7,226,1,0,2025-04-12T18:50:00,2025-04-12
29961,15501,1570,13,864,2,0,2025-04-12T18:50:00,2025-04-12
29962,15501,1570,27,261,3,0,2025-04-12T18:50:00,2025-04-12
29963,15502,1497,11,824,1,1,2025-04-12T07:54:00,2025-04-12
29964,15502,1497,11,825,2,1,2025-04-12T07:54:00,2025-04-12
29965,15502,1497,7,942,3,1,2025-04-12T07:54:00,2025-04-12
29966,15502,1497,21,860,4,0,2025-04-12T07:54:00,2025-04-12
29967,15502,1497,4,876,5,1,2025-04-12T07:54:00,2025-04-12
29968,15502,1497,5,757,6,1,2025-04-12T07:54:00,2025-04-12
29969,15503,7683,25,492,1,1,2025-04-12T07:00:00,2025-04-12
29970,15503,7683,19,516,2,1,2025-04-12T07:00:00,2025-04-12
29971,15503,7683,23,318,3,0,2025-04-12T07:00:00,2025-04-12
29972,15503,7683,12,987,4,1,2025-04-12T07:00:00,2025-04-12
29973,15503,7683,20,21,5,0,2025-04-12T07:00:00,2025-04-12
29974,15503,7683,2,687,6,1,2025-04-12T07:00:00,2025-04-12
29975,15503,7683,3,509,7,0,2025-04-12T07:00:00,2025-04-12
29976,15503,7683,24,684,8,1,2025-04-12T07:00:00,2025-04-12
29977,15504,3141,11,848,1,1,2025-04-12T03:49:00,2025-04-12
29978,15504,3141,1,275,2,0,2025-04-12T03:49:00,2025-04-12
29979,15504,3141,7,74,3,0,2025-04-12T03:49:00,2025-04-12
29980,15505,2568,8,583,1,1,2025-04-12T18:33:00,2025-04-12
29981,15505,2568,12,844,2,0,2025-04-12T18:33:00,2025-04-12
29982,15505,2568,17,935,3,1,2025-04-12T18:33:00,2025-04-12
29983,15505,2568,12,944,4,1,2025-04-12T18:33:00,2025-04-12
29984,15505,2568,15,855,5,0,2025-04-12T18:33:00,2025-04-12
29985,15505,2568,7,784,6,0,2025-04-12T18:33:00,2025-04-12
29986,15505,2568,25,874,7,0,2025-04-12T18:33:00,2025-04-12
29987,15505,2568,3,250,8,0,2025-04-12T18:33:00,2025-04-12
29988,15505,2568,9,294,9,1,2025-04-12T18:33:00,2025-04-12
29989,15505,2568,9,18,10,0,2025-04-12T18:33:00,2025-04-12
29990,15506,7835,15,876,1,1,2025-04-12T15:47:00,2025-04-12
29991,15506,7835,11,496,2,0,2025-04-12T15:47:00,2025-04-12
29992,15506,7835,15,227,3,1,2025-04-12T15:47:00,2025-04-12
29993,15506,7835,17,990,4,0,2025-04-12T15:47:00,2025-04-12
29994,15506,7835,0,861,5,0,2025-04-12T15:47:00,2025-04-12
29995,15506,7835,19,399,6,1,2025-04-12T15:47:00,2025-04-12
29996,15506,7835,25,107,7,1,2025-04-12T15:47:00,2025-04-12
29997,15507,5670,17,544,1,0,2025-04-12T15:32:00,2025-04-12
29998,15507,5670,22,221,2,1,2025-04-12T15:32:00,2025-04-12
29999,15507,5670,27,690,3,0,2025-04-12T15:32:00,2025-04-12
30000,15507,5670,25,462,4,0,2025-04-12T15:32:00,2025-04-12
